Date,Month,Open,High,Low,Close,GDX_Open,GDX_High,GDX_Low,GDX_Close,USO_Open,USO_High,USO_Low,USO_Close,USO_Adj Close,USO_Volume
12/15/2011,December,154.740005,154.949997,151.710007,152.330002,53.009998,53.139999,51.57,51.68,36.900002,36.939999,36.049999,36.130001,36.130001,12616700
12/16/2011,December,154.309998,155.369995,153.899994,155.229996,52.5,53.18,52.040001,52.68,36.18,36.5,35.73,36.27,36.27,12578800
12/19/2011,December,155.479996,155.860001,154.360001,154.869995,52.490002,52.549999,51.029999,51.169998,36.389999,36.450001,35.93,36.200001,36.200001,7418200
12/20/2011,December,156.820007,157.429993,156.580002,156.979996,52.380001,53.25,52.369999,52.990002,37.299999,37.610001,37.220001,37.560001,37.560001,10041600
12/21/2011,December,156.979996,157.529999,156.130005,157.160004,53.150002,53.43,52.419998,52.959999,37.669998,38.240002,37.52,38.110001,38.110001,10728000
12/22/2011,December,156.350006,156.800003,155.330002,156.039993,52.560001,52.619999,51.77,52.400002,38.27,38.549999,38.209999,38.279999,38.279999,5376800
12/23/2011,December,156.350006,156.490005,155.820007,156.309998,52.59,52.790001,52.349998,52.790001,38.470001,38.610001,38.369999,38.490002,38.490002,2162200
12/27/2011,December,155.080002,155.550003,154.539993,154.910004,52.369999,52.52,51.68,51.869999,38.490002,39.209999,38.459999,39.060001,39.060001,7834100
12/28/2011,December,154.050003,154.259995,150.660004,151.029999,51.77,51.869999,50.009998,50.060001,38.880001,38.889999,38.189999,38.34,38.34,5654300
12/29/2011,December,149.089996,150.720001,148.270004,150.339996,49.52,51.200001,49.220001,51.200001,38.389999,38.459999,37.869999,38.41,38.41,8924300
12/30/2011,December,152.139999,153.75,151.789993,151.990005,51.619999,52.080002,51.09,51.43,38.099998,38.490002,37.990002,38.110001,38.110001,4114300
1/3/2012,January,154.759995,156.300003,154.550003,155.919998,52.790001,54.02,52.759998,53.799999,39.240002,39.75,39.240002,39.689999,39.689999,12369900
1/4/2012,January,155.429993,157.380005,155.339996,156.710007,53.610001,54.540001,53.34,53.740002,39.5,39.959999,39.380001,39.77,39.77,13812800
1/5/2012,January,155.369995,158.029999,155.25,157.779999,53.259998,54.27,52.759998,53.900002,39.490002,39.849998,39.119999,39.169998,39.169998,11799600
1/6/2012,January,158.589996,158.630005,156.380005,157.199997,54.130001,54.290001,53.220001,53.349998,39.389999,39.389999,38.860001,39.220001,39.220001,9760600
1/9/2012,January,157.360001,157.589996,156.190002,156.5,53.549999,53.950001,53.18,53.650002,39.110001,39.139999,38.560001,39.080002,39.080002,7509300
1/10/2012,January,158.970001,159.470001,158.470001,158.639999,54.799999,55.07,54.389999,54.470001,39.57,39.73,39.330002,39.34,39.34,7062300
1/11/2012,January,159.339996,160.050003,158.910004,159.669998,54.459999,54.509998,53.669998,54.310001,39.09,39.310001,38.740002,38.919998,38.919998,8861100
1/12/2012,January,161.020004,161.619995,159.830002,160.380005,54.84,55.450001,54.310001,54.720001,39.290001,39.66,37.950001,38.060001,38.060001,18350600
1/13/2012,January,159.320007,159.589996,158.009995,159.259995,54.040001,54.169998,53.23,54.049999,37.900002,38.209999,37.639999,38.16,38.16,11269200
1/17/2012,January,161.169998,161.649994,160.419998,160.5,54.540001,54.540001,52.860001,53.18,38.59,38.84,38.310001,38.790001,38.790001,10174500
1/18/2012,January,159.940002,161.639999,159.679993,161.600006,53.07,53.580002,52.950001,53.240002,38.880001,39.029999,38.439999,38.830002,38.830002,12455200
1/19/2012,January,160.960007,161.449997,160.330002,161.220001,53.169998,53.419998,51.580002,52.150002,39.080002,39.110001,38.470001,38.689999,38.689999,10521700
1/20/2012,January,160.5,162.089996,160,162.070007,52.07,52.779999,51.75,52.18,38.169998,38.200001,37.68,37.779999,37.779999,13205600
1/23/2012,January,162.320007,163.470001,162.320007,163.160004,52.419998,53.27,52.419998,53.009998,38.02,38.52,37.959999,38.389999,38.389999,8470500
1/24/2012,January,161.809998,162.369995,161.529999,162.009995,52.509998,52.580002,51.709999,51.82,37.799999,38.200001,37.75,38.099998,38.099998,6466300
1/25/2012,January,161.070007,166.550003,160.289993,166.419998,51.580002,55.41,51.27,55.23,37.82,38.580002,37.490002,38.349998,38.349998,14198600
1/27/2012,January,167.440002,169,167.410004,168.970001,55.799999,57.369999,55.720001,57.139999,38.279999,38.669998,38.09,38.299999,38.299999,7246800
1/30/2012,January,168.190002,168.539993,167.740005,168.029999,56.400002,56.91,55.799999,56.459999,37.93,38.279999,37.830002,38.009998,38.009998,5349600
1/31/2012,January,169.770004,169.860001,167.720001,169.309998,57.52,57.709999,55.75,56.459999,38.830002,38.84,37.610001,37.82,37.82,9687300
2/1/2012,February,169.75,170.179993,169.080002,169.559998,57.040001,57.150002,56.369999,56.560001,38.130001,38.23,37.349998,37.380001,37.380001,10363300
2/2/2012,February,169.960007,171.229996,169.679993,171.050003,57.09,57.939999,56.689999,57.470001,37.16,37.32,36.68,37.130001,37.130001,9175800
2/3/2012,February,169.880005,170.139999,167.509995,167.639999,56.77,56.939999,55.950001,56.439999,37.240002,37.669998,37.07,37.59,37.59,11447300
2/6/2012,February,166.960007,167.679993,166.610001,167.179993,56.02,56.799999,55.860001,56.18,37.330002,37.529999,37.130001,37.330002,37.330002,6126100
2/7/2012,February,167.380005,170.089996,167.149994,169.699997,56.09,56.650002,55.290001,55.880001,37.07,38.080002,37.040001,37.950001,37.950001,10237000
2/8/2012,February,169.259995,169.960007,167.5,168.5,56.139999,56.529999,55.369999,55.540001,38.360001,38.439999,37.689999,38.040001,38.040001,9045800
2/9/2012,February,170.009995,170.369995,167.669998,168.020004,56.200001,56.43,55.25,55.25,38.389999,38.48,38.150002,38.330002,38.330002,4663500
2/10/2012,February,166.490005,167.639999,166.330002,167.139999,54.540001,54.84,54.080002,54.490002,37.549999,38.02,37.509998,38.02,38.02,6008600
2/13/2012,February,167.330002,167.940002,166.740005,167.509995,54.759998,54.919998,54.130001,54.299999,38.509998,38.790001,38.150002,38.689999,38.689999,14408000
2/14/2012,February,167.649994,167.929993,166.419998,167.119995,54.299999,54.549999,53.189999,53.77,39.060001,39.099998,38.509998,38.84,38.84,8418600
2/15/2012,February,168.630005,168.75,167.190002,168.110001,54.43,54.459999,53.52,53.560001,39.060001,39.18,38.869999,39.18,39.18,8856600
2/16/2012,February,166.330002,168.139999,166.169998,168,52.939999,55.150002,52.689999,54.950001,39.029999,39.400002,38.93,39.279999,39.279999,6360000
2/17/2012,February,168.289993,168.330002,166.869995,167.350006,55.299999,55.349998,54.040001,54.150002,39.709999,39.75,39.43,39.75,39.75,7894800
2/21/2012,February,169.649994,171.070007,169.589996,171.020004,55.009998,55.849998,54.700001,55.82,40.130001,40.740002,40.040001,40.580002,40.580002,11389500
2/22/2012,February,170.399994,173.169998,170.190002,172.940002,55.580002,57,55.310001,56.830002,40.5,40.830002,40.43,40.59,40.59,8848200
2/23/2012,February,172.690002,173.770004,172.279999,173.020004,57.040001,57.709999,56.77,57.259998,40.560001,41.41,40.349998,41.369999,41.369999,9719900
2/24/2012,February,172.630005,173.039993,172,172.229996,57.150002,57.290001,56.18,56.459999,41.599998,42.07,41.299999,42.009998,42.009998,12031900
2/27/2012,February,172.139999,172.919998,171.580002,171.699997,56.27,56.639999,55.73,56.060001,41.529999,41.849998,41.029999,41.18,41.18,11337500
2/28/2012,February,172.839996,174,172.600006,173.490005,56.549999,57.439999,56.200001,57.330002,41.369999,41.610001,40.66,40.790001,40.790001,9943300
2/29/2012,February,173.190002,173.589996,164,164.289993,57.509998,57.91,54.869999,55.400002,40.849998,41.07,40.099998,40.919998,40.919998,19797400
3/1/2012,March,166.100006,167.720001,165.75,166.610001,55.540001,56.380001,55.209999,55.889999,41.139999,42.299999,40.82,41.75,41.75,24575900
3/2/2012,March,166.229996,166.830002,165.630005,166.339996,55.389999,55.529999,54.509998,54.790001,41.279999,41.32,40.48,40.77,40.77,15442200
3/5/2012,March,165.770004,165.910004,164.550003,165.649994,54.34,54.439999,53.220001,53.619999,40.93,40.990002,40.57,40.970001,40.970001,7398900
3/6/2012,March,162.149994,162.809998,161.779999,162.699997,52.549999,52.580002,51.639999,52.470001,40.099998,40.400002,39.970001,40.130001,40.130001,10091800
3/7/2012,March,162.759995,164.020004,162.509995,163.630005,52.580002,52.919998,51.93,52.669998,40.029999,40.740002,39.91,40.610001,40.610001,8874300
3/8/2012,March,164.740005,165.550003,164.050003,165.279999,53.23,53.709999,52.470001,53.32,40.68,41,40.48,40.82,40.82,7290600
3/9/2012,March,163.639999,166.570007,163.25,166.380005,52.950001,53.939999,52.639999,53.240002,40.810001,41.360001,40.740002,41.09,41.09,7487200
3/12/2012,March,165.330002,165.580002,164.399994,165.070007,52.950001,53.240002,52.220001,52.369999,40.560001,40.759998,40.299999,40.700001,40.700001,5160600
3/13/2012,March,163.940002,165.410004,161.429993,162.300003,52.209999,52.860001,51.790001,52.110001,40.580002,41.060001,40.439999,40.830002,40.830002,7147000
3/14/2012,March,159.610001,160.580002,158.800003,159.570007,51.349998,51.349998,49.68,50.119999,40.669998,40.939999,40.220001,40.41,40.41,8743000
3/15/2012,March,159.729996,161.979996,159.279999,161.080002,50.23,50.939999,49.919998,50.139999,40.41,40.560001,39.700001,40.279999,40.279999,27314800
3/16/2012,March,160.080002,161.539993,159.919998,161.300003,49.950001,50.310001,49.799999,49.93,40.43,41.169998,40.34,41.029999,41.029999,8612400
3/19/2012,March,160.850006,162.300003,160.720001,161.589996,50.07,50.52,49.59,49.599998,41.189999,41.380001,41.060001,41.290001,41.290001,5793500
3/20/2012,March,160.199997,161.080002,159.770004,160.130005,48.990002,49.990002,48.419998,49.860001,40.779999,40.799999,40.23,40.43,40.43,9727300
3/21/2012,March,160.630005,161.479996,160.149994,160.210007,50.27,50.5,49.720001,49.759998,40.529999,40.970001,40.43,40.66,40.66,8419200
3/22/2012,March,158.199997,159.710007,158.130005,159.570007,48.759998,49.130001,48.450001,48.75,39.900002,40.18,39.779999,40.139999,40.139999,10619600
3/23/2012,March,160.880005,161.880005,160.520004,161.529999,49.080002,50.060001,48.830002,49.759998,40.209999,41.209999,40.040001,40.689999,40.689999,17600400
3/26/2012,March,163.169998,164.539993,162.949997,164.399994,50.810001,50.950001,50.200001,50.630001,40.709999,40.84,40.580002,40.77,40.77,4348200
3/27/2012,March,164.520004,164.889999,163.130005,163.240005,50.84,50.860001,49.799999,49.91,40.849998,41,40.540001,40.709999,40.709999,7460100
3/28/2012,March,162.710007,162.979996,160.660004,161.509995,49.650002,49.75,48.630001,48.93,40.130001,40.200001,39.849998,40.189999,40.189999,9820600
3/29/2012,March,161.139999,161.460007,159.809998,161.279999,48.759998,49.09,48.049999,49.060001,40.029999,40.119999,38.869999,39.290001,39.290001,12803900
3/30/2012,March,161.669998,162.330002,161.220001,162.119995,49.619999,49.630001,48.810001,49.540001,39.380001,39.630001,39.119999,39.23,39.23,5883800
4/2/2012,April,161.960007,163.559998,161.809998,162.940002,49.540001,50.759998,49.419998,50.389999,38.93,40.130001,38.880001,40.029999,40.029999,7676900
4/3/2012,April,163.229996,163.229996,159.169998,159.889999,50.470001,50.470001,48.349998,48.75,39.950001,40.02,39.43,39.66,39.66,5029200
4/4/2012,April,157.699997,158.029999,156.580002,157.210007,47.73,47.77,46.009998,46.709999,39.119999,39.23,38.470001,38.84,38.84,8693400
4/5/2012,April,157.869995,158.679993,157.779999,158.309998,46.950001,47.080002,46,46.200001,38.73,39.349998,38.709999,39.259998,39.259998,4258300
4/9/2012,April,159.720001,160.009995,158.910004,159.369995,46.59,47.130001,46.389999,46.48,38.560001,39.040001,38.360001,38.970001,38.970001,5724000
4/10/2012,April,159.660004,161.580002,158.470001,161.100006,46.439999,47.189999,45.98,47.040001,38.880001,39.169998,38.310001,38.509998,38.509998,6602000
4/11/2012,April,161.199997,161.539993,160.740005,161.070007,47.16,47.23,46.360001,46.490002,38.68,39.23,38.57,39.009998,39.009998,8232700
4/12/2012,April,160.740005,163.199997,160.460007,162.699997,46.459999,48.330002,46.450001,48.150002,39.150002,39.639999,39.130001,39.439999,39.439999,5793600
4/13/2012,April,162.449997,162.460007,160.169998,160.850006,47.919998,48.060001,47.25,47.5,39.25,39.330002,39.02,39.150002,39.150002,4071700
4/16/2012,April,160.509995,161.179993,159.529999,160.460007,47.34,47.740002,46.389999,46.639999,39.130001,39.310001,38.73,39.18,39.18,5762700
4/17/2012,April,160.539993,160.960007,158.75,160.25,46.82,47.709999,46.48,47.110001,39.830002,39.889999,39.540001,39.639999,39.639999,5407300
4/18/2012,April,159.490005,160.119995,159.070007,159.309998,46.650002,47.259998,46.400002,46.630001,39.470001,39.57,38.860001,39.049999,39.049999,5135400
4/19/2012,April,160,160.639999,159.020004,159.429993,46.950001,47.27,46.439999,46.610001,39.040001,39.139999,38.669998,38.959999,38.959999,5512700
4/20/2012,April,159.25,159.910004,159.199997,159.539993,46.73,47.060001,46.099998,46.119999,39.509998,39.610001,39.119999,39.389999,39.389999,5364200
4/23/2012,April,158.199997,159.179993,157.880005,159.070007,45.41,45.450001,44.18,45.040001,38.73,39.049999,38.549999,39.029999,39.029999,5551300
4/24/2012,April,159.630005,160.179993,159.289993,159.300003,45.349998,45.470001,44.790001,45.139999,39.369999,39.389999,39.009998,39.169998,39.169998,4142800
4/25/2012,April,159.479996,159.960007,157.759995,159.619995,45.470001,46.389999,45.099998,46.290001,39.330002,39.59,39.040001,39.41,39.41,8560500
4/26/2012,April,160.460007,161.380005,160.100006,161.029999,46.32,46.450001,45.869999,46.25,39.439999,39.720001,39.380001,39.529999,39.529999,5353300
4/27/2012,April,161.779999,161.970001,161.149994,161.380005,46.860001,47.110001,46.509998,46.799999,39.549999,39.75,39.380001,39.619999,39.619999,3845100
4/30/2012,April,160.490005,161.880005,160.309998,161.880005,46.369999,46.57,45.709999,46.389999,39.43,39.810001,39.369999,39.68,39.68,4873200
5/1/2012,May,162.089996,162.179993,160.889999,161.320007,46.41,46.900002,46.119999,46.439999,39.630001,40.290001,39.630001,40.150002,40.150002,6059600
5/2/2012,May,160.740005,160.779999,159.759995,160.589996,46.07,46.099998,45.299999,45.66,40.009998,40.060001,39.709999,39.889999,39.889999,5708100
5/3/2012,May,159.160004,159.479996,158.369995,158.970001,45.040001,45.150002,43.400002,43.880001,39.43,39.439999,38.75,38.830002,38.830002,9079700
5/4/2012,May,158.820007,159.979996,158.570007,159.470001,43.82,44.740002,43.790001,44.049999,37.84,37.990002,36.919998,37.290001,37.290001,20087800
5/7/2012,May,159.309998,159.339996,158.449997,159.080002,44.09,44.389999,43.09,43.669998,36.860001,37.16,36.5,37.049999,37.049999,10765200
5/8/2012,May,156.610001,156.729996,154.919998,156,42.740002,42.849998,41.73,42.169998,36.73,36.900002,36.150002,36.869999,36.869999,10699100
5/9/2012,May,154.100006,154.979996,153.600006,154.470001,41.389999,43.630001,41.099998,43.02,36.240002,36.66,36.029999,36.52,36.52,11412000
5/10/2012,May,155.160004,155.570007,154.639999,154.770004,43.549999,43.889999,42.68,43.09,36.860001,36.970001,36.549999,36.610001,36.610001,4746600
5/11/2012,May,153.440002,154.470001,153.240005,153.559998,42.580002,43.299999,42.330002,42.419998,36.27,36.77,36.240002,36.259998,36.259998,4507100
5/14/2012,May,151.580002,152.029999,151,151.330002,41.57,42.259998,40.950001,40.970001,35.709999,35.98,35.529999,35.610001,35.610001,5259700
5/15/2012,May,151.160004,151.440002,149.630005,149.740005,40.970001,41.34,39.25,39.34,35.799999,35.970001,35.220001,35.279999,35.279999,6275000
5/16/2012,May,149.479996,150.699997,148.600006,149.460007,39.450001,40.66,39.080002,39.560001,35.189999,35.639999,34.939999,35.049999,35.049999,10645100
5/17/2012,May,150.830002,153.399994,150.380005,152.800003,40.18,41.970001,40.119999,41.34,35.380001,35.450001,34.860001,35.040001,35.040001,5773000
5/18/2012,May,154.460007,155.130005,153.970001,154.550003,42.189999,42.810001,41.439999,41.619999,34.889999,35.040001,34.43,34.43,34.43,7211400
5/21/2012,May,154.110001,154.949997,153.860001,154.649994,41.639999,43.119999,41.630001,43.009998,34.68,35.189999,34.599998,35.150002,35.150002,5540200
5/22/2012,May,153.589996,154.419998,151.550003,152.080002,42.959999,43.759998,42.200001,42.540001,34.91,35,34.389999,34.48,34.48,5284200
5/23/2012,May,151.5,151.839996,148.839996,151.619995,42.119999,44.439999,41.299999,44.439999,34.419998,34.459999,33.66,34.09,34.09,9300000
5/24/2012,May,152.710007,152.910004,150.619995,151.410004,44.75,45.279999,43.700001,44.630001,34.290001,34.5,34,34.259998,34.259998,7171800
5/25/2012,May,151.889999,152.850006,151.630005,152.679993,44.740002,45.150002,44.389999,44.91,34.209999,34.369999,34.16,34.220001,34.220001,3102000
5/29/2012,May,153.470001,153.619995,150.25,151.020004,45.419998,45.48,43.68,44.09,34.529999,34.759998,34.029999,34.23,34.23,6223500
5/30/2012,May,149.740005,152.380005,148.529999,151.910004,43.43,44.830002,42.720001,44.240002,33.52,33.540001,32.93,33.02,33.02,7279100
5/31/2012,May,152.029999,152.710007,150.619995,151.619995,44.32,44.849998,43.139999,43.779999,33.040001,33.09,32.369999,32.610001,32.610001,10904000
6/1/2012,June,155.410004,158.309998,154.869995,157.5,44.830002,46.869999,44.779999,46.580002,31.700001,31.870001,31.030001,31.43,31.43,14618000
6/4/2012,June,157.259995,157.440002,156.160004,157.320007,46.919998,47.349998,45.860001,47.330002,31.34,31.809999,31.23,31.76,31.76,11859500
6/5/2012,June,156.919998,157.270004,156.419998,157.139999,47.099998,47.599998,46.849998,47.529999,31.610001,31.83,31.559999,31.76,31.76,7431400
6/6/2012,June,158.899994,159.199997,156.589996,157.210007,48.380001,48.720001,46.91,47.619999,32.09,32.509998,31.950001,32.150002,32.150002,10490600
6/7/2012,June,157.820007,157.839996,153.190002,154.5,47.700001,47.75,45.43,45.990002,32.77,32.799999,31.610001,31.719999,31.719999,8172300
6/8/2012,June,153.020004,154.830002,153,154.729996,45.360001,46.639999,45.07,46.330002,31.190001,31.9,31.129999,31.799999,31.799999,8895600
6/11/2012,June,154.830002,155.399994,153.550003,155.360001,46.66,46.709999,45.529999,45.66,31.9,31.9,30.67,30.700001,30.700001,9981000
6/12/2012,June,155.490005,157.039993,155.449997,156.460007,46.119999,46.939999,46.009998,46.759998,31.32,31.540001,31.120001,31.42,31.42,6772900
6/13/2012,June,157.610001,157.649994,156.419998,157.119995,47.130001,47.48,46.619999,46.790001,31.040001,31.65,30.959999,31.1,31.1,7133200
6/14/2012,June,157.639999,157.940002,156.240005,157.75,47.139999,47.169998,46.200001,46.93,31.190001,31.799999,31.040001,31.73,31.73,4941300
6/15/2012,June,157.75,158.460007,157.419998,157.839996,47.09,47.119999,46.560001,46.919998,31.639999,31.790001,31.450001,31.629999,31.629999,4882600
6/18/2012,June,157.460007,158.210007,156.539993,157.929993,46.330002,47.919998,46.150002,47.73,31.02,31.610001,30.93,31.32,31.32,5550600
6/19/2012,June,158,158.139999,156.970001,157.160004,47.779999,47.889999,47.220001,47.68,31.74,31.809999,31.49,31.68,31.68,7323500
6/20/2012,June,156,157.369995,154.259995,155.970001,47.099998,48.349998,46.5,47.27,31.549999,31.58,30.360001,30.49,30.49,21889300
6/21/2012,June,153.729996,154.229996,151.800003,152.020004,46.27,46.380001,44.799999,44.82,30.299999,30.4,29.309999,29.459999,29.459999,18460600
6/22/2012,June,152.039993,152.699997,151.210007,152.639999,44.740002,45.349998,44.029999,44.580002,29.57,30.18,29.450001,30.1,30.1,10231100
6/25/2012,June,152.580002,154.160004,152.25,153.759995,44.119999,45.450001,43.869999,45.16,29.68,29.84,29.299999,29.799999,29.799999,8658200
6/26/2012,June,153.029999,153.300003,152.130005,152.619995,44.759998,45.23,43.900002,44.450001,29.790001,29.91,29.43,29.809999,29.809999,6897600
6/27/2012,June,153.300003,153.449997,152.149994,152.830002,44.700001,44.799999,43.68,44.279999,30.120001,30.370001,29.950001,30.200001,30.200001,9332000
6/28/2012,June,151.899994,152.160004,150.149994,151.050003,43.720001,44,42.599998,43.310001,29.940001,30.02,29.02,29.5,29.5,14080600
6/29/2012,June,155.130005,155.949997,154.520004,155.190002,44.990002,45.080002,44.139999,44.77,30.76,32.029999,30.559999,31.83,31.83,20413600
7/2/2012,July,154.669998,155.550003,154.339996,155.089996,44.450001,45.040001,44.380001,44.759998,31.43,31.700001,30.82,31.43,31.43,17550700
7/3/2012,July,156.970001,157.720001,156.770004,157.460007,45.48,46.57,45.459999,46.450001,32.689999,33.040001,32.540001,32.939999,32.939999,13959000
7/5/2012,July,155.440002,156.399994,154.449997,155.679993,46,46.419998,45.68,45.77,32.689999,33.080002,32.470001,32.619999,32.619999,9915900
7/6/2012,July,154.229996,154.490005,152.949997,153.710007,45.009998,45.41,44.25,44.43,31.77,31.99,31.549999,31.59,31.59,9573900
7/9/2012,July,153.610001,154.580002,153.429993,154.039993,44.310001,44.509998,43.799999,44.25,31.709999,32.459999,31.66,32.169998,32.169998,6693700
7/10/2012,July,155.130005,155.179993,151.779999,152.149994,44.669998,44.84,42.650002,42.869999,32.150002,32.169998,31.4,31.52,31.52,8195000
7/11/2012,July,152.580002,153.449997,152.020004,152.990005,42.540001,42.549999,41.490002,41.970001,31.950001,32.450001,31.780001,32.330002,32.330002,12335300
7/12/2012,July,151.259995,153.070007,150.850006,152.589996,41.200001,42.060001,40.459999,41.709999,31.84,32.41,31.620001,32.200001,32.200001,7590800
7/13/2012,July,153.449997,154.940002,153.440002,154.139999,42.060001,42.509998,41.75,42.310001,32.389999,32.869999,32.389999,32.68,32.68,4922500
7/16/2012,July,154.429993,154.75,153.979996,154.210007,42.369999,42.43,41.900002,42.16,32.799999,33.200001,32.59,33.119999,33.119999,6852200
7/17/2012,July,154.009995,154.5,152.449997,153.470001,42.110001,42.189999,41,41.700001,33.400002,33.540001,32.799999,33.380001,33.380001,9198100
